hindi,santhali_ol_chiki,confidence
कक्षा 1,kakaṣā 1,0.0
शिक्षक 1,śikaṣaka 1,0.0
शिक्षिका 1,śikaṣikā 1,0.0
बच्चा 1,bacacā 1,0.0
लड़का 1,laḍakā 1,0.0
लड़की 1,laḍakī 1,0.0
माता 1,mātā 1,0.0
पिता 1,pitā 1,0.0
परिवार 1,parivāra 1,0.0
दोस्त 1,dosata 1,0.0
किताब 1,kitāba 1,0.0
पेपर 1,pepara 1,0.0
कलम 1,kalama 1,0.0
कागज 1,kāgaja 1,0.0
स्कूलबैग 1,sakūlabaiga 1,0.0
खेल 1,khela 1,0.0
गाना 1,gānā 1,0.0
नाच 1,nāca 1,0.0
कहानी 1,kahānī 1,0.0
कविता 1,kavitā 1,0.0
खाना 1,khānā 1,0.0
पानी 1,pānī 1,0.0
रोटी 1,roṭī 1,0.0
चावल 1,cāvala 1,0.0
दाल 1,dāla 1,0.0
फल 1,phala 1,0.0
सब्जी 1,sabajī 1,0.0
मिठाई 1,miṭhāī 1,0.0
खुश 1,khuśa 1,0.0
उदास 1,udāsa 1,0.0
हंसना 1,haṃsanā 1,0.0
रोना 1,ronā 1,0.0
देखना 1,dekhanā 1,0.0
सुनना 1,sunanā 1,0.0
बोलना 1,bolanā 1,0.0
कहना 1,kahanā 1,0.0
सोचना 1,socanā 1,0.0
समझना 1,samajhanā 1,0.0
सीखना 1,sīkhanā 1,0.0
लिखना 1,likhanā 1,0.0
पढ़ना 1,paḍhanā 1,0.0
गिनती 1,ginatī 1,0.0
एक 1,eka 1,0.0
दो 1,do 1,0.0
तीन 1,tīna 1,0.0
चार 1,cāra 1,0.0
पाँच 1,pā̃ca 1,0.0
छह 1,chaha 1,0.0
सात 1,sāta 1,0.0
आठ 1,āṭha 1,0.0
नौ 1,nau 1,0.0
दस 1,dasa 1,0.0
ग्यारह 1,gayāraha 1,0.0
बारह 1,bāraha 1,0.0
तीरह 1,tīraha 1,0.0
चौदह 1,caudaha 1,0.0
पंद्रह 1,paṃdaraha 1,0.0
बीस 1,bīsa 1,0.0
तीस 1,tīsa 1,0.0
सौ 1,sau 1,0.0
हज़ार 1,hajaāra 1,0.0
कितना 1,kitanā 1,0.0
किसका 1,kisakā 1,0.0
किसे 1,kise 1,0.0
क्योंकि 1,kayoṃki 1,0.0
अगर 1,agara 1,0.0
लेकिन 1,lekina 1,0.0
और 1,aura 1,0.0
या 1,yā 1,0.0
पर 1,para 1,0.0
बीच 1,bīca 1,0.0
साथ 1,sātha 1,0.0
अंदर 1,aṃdara 1,0.0
बाहर 1,bāhara 1,0.0
ऊपर 1,ūpara 1,0.0
नीचे 1,nīce 1,0.0
दायाँ 1,dāyā̃ 1,0.0
बायाँ 1,bāyā̃ 1,0.0
सही 1,sahī 1,0.0
गलत 1,galata 1,0.0
खिड़की 1,khiḍakī 1,0.0
दरवाज़ा 1,daravājaā 1,0.0
कुर्सी 1,kurasī 1,0.0
मेज़ 1,meja 1,0.0
बिस्तर 1,bisatara 1,0.0
कमरा 1,kamarā 1,0.0
घर 1,ghara 1,0.0
गांव 1,gāṃva 1,0.0
शहर 1,śahara 1,0.0
मार्ग 1,māraga 1,0.0
सड़क 1,saḍaka 1,0.0
बाजार 1,bājāra 1,0.0
दुकान 1,dukāna 1,0.0
दवा 1,davā 1,0.0
हॉस्पिटल 1,haॉsapiṭala 1,0.0
डॉक्टर 1,ḍaॉkaṭara 1,0.0
नर्स 1,narasa 1,0.0
अस्पताल 1,asapatāla 1,0.0
पुलिस 1,pulisa 1,0.0
ट्रेन 1,ṭarena 1,0.0
बस 1,basa 1,0.0
साइकिल 1,sāikila 1,0.0
कार 1,kāra 1,0.0
हवाईजहाज़ 1,havāījahāja 1,0.0
समुद्र 1,samudara 1,0.0
नदी 1,nadī 1,0.0
पहाड़ 1,pahāḍa 1,0.0
वन 1,vana 1,0.0
पेड़ 1,peḍa 1,0.0
पत्ता 1,patatā 1,0.0
फूल 1,phūla 1,0.0
सूरज 1,sūraja 1,0.0
चाँद 1,cā̃da 1,0.0
तारा 1,tārā 1,0.0
बारिश 1,bāriśa 1,0.0
बर्फ 1,barapha 1,0.0
हवा 1,havā 1,0.0
गरम 1,garama 1,0.0
ठंडा 1,ṭhaṃḍā 1,0.0
बाग 1,bāga 1,0.0
खेत 1,kheta 1,0.0
किसान 1,kisāna 1,0.0
जानवर 1,jānavara 1,0.0
कुत्ता 1,kutatā 1,0.0
बिल्ली 1,bilalī 1,0.0
गाय 1,gāya 1,0.0
भैंस 1,bhaiṃsa 1,0.0
घोड़ा 1,ghoḍaā 1,0.0
मुर्गा 1,muragā 1,0.0
अंडा 1,aṃḍā 1,0.0
दूध 1,dūdha 1,0.0
मकान 1,makāna 1,0.0
मेटल 1,meṭala 1,0.0
लकड़ी 1,lakaḍaī 1,0.0
कपड़ा 1,kapaḍaā 1,0.0
जूता 1,jūtā 1,0.0
टोपी 1,ṭopī 1,0.0
दाढ़ी 1,dāḍhaī 1,0.0
बाल 1,bāla 1,0.0
आँख 1,ā̃kha 1,0.0
कान 1,kāna 1,0.0
नाक 1,nāka 1,0.0
हाथ 1,hātha 1,0.0
पैर 1,paira 1,0.0
दिल 1,dila 1,0.0
दिमाग 1,dimāga 1,0.0
स्वास्थ्य 1,savāsathaya 1,0.0
सफाई 1,saphāī 1,0.0
खुशहाली 1,khuśahālī 1,0.0
सुरक्षा 1,surakaṣā 1,0.0
खुला 1,khulā 1,0.0
बंद 1,baṃda 1,0.0
किराना 1,kirānā 1,0.0
खर्च 1,kharaca 1,0.0
कमाई 1,kamāī 1,0.0
काम 1,kāma 1,0.0
आराम 1,ārāma 1,0.0
खेलना 1,khelanā 1,0.0
सीढ़ी 1,sīḍhaī 1,0.0
दरवाज़ा 1,daravājaā 1,0.0
सड़क 1,saḍaka 1,0.0
पुल 1,pula 1,0.0
नौकरी 1,naukarī 1,0.0
पैसा 1,paisā 1,0.0
हाथ धोना 1,hātha dhonā 1,0.0
साबुन 1,sābuna 1,0.0
टॉयलेट 1,ṭaॉyaleṭa 1,0.0
क्लासरूम 1,kalāsarūma 1,0.0
पाठ्यक्रम 1,pāṭhayakarama 1,0.0
शब्द 1,śabada 1,0.0
वाक्य 1,vākaya 1,0.0
अनुच्छेद 1,anucacheda 1,0.0
कहानी 1,kahānī 1,0.0
चित्र 1,citara 1,0.0
रंग 1,raṃga 1,0.0
लाल 1,lāla 1,0.0
नीला 1,nīlā 1,0.0
हरा 1,harā 1,0.0
पीला 1,pīlā 1,0.0
काला 1,kālā 1,0.0
सफ़ेद 1,saphaeda 1,0.0
गुलाबी 1,gulābī 1,0.0
बैंगनी 1,baiṃganī 1,0.0
नमस्ते 2,namasate 2,0.0
हैलो 2,hailo 2,0.0
आप 2,āpa 2,0.0
तुम 2,tuma 2,0.0
मैं 2,maiṃ 2,0.0
हम 2,hama 2,0.0
यह 2,yaha 2,0.0
वह 2,vaha 2,0.0
क्यों 2,kayoṃ 2,0.0
क्या 2,kayā 2,0.0
कैसे 2,kaise 2,0.0
कहाँ 2,kahā̃ 2,0.0
कब 2,kaba 2,0.0
हाँ 2,hā̃ 2,0.0
नहीं 2,nahīṃ 2,0.0
कृपया 2,kaृpayā 2,0.0
धन्यवाद 2,dhanayavāda 2,0.0
शुक्रिया 2,śukariyā 2,0.0
स्वागत 2,savāgata 2,0.0
अच्छा 2,acachā 2,0.0
ख़राब 2,kharāba 2,0.0
बड़ा 2,baḍaā 2,0.0
छोटा 2,choṭā 2,0.0
लंबा 2,laṃbā 2,0.0
छोटा 2,choṭā 2,0.0
तेज़ 2,teja 2,0.0
धीमा 2,dhīmā 2,0.0
सुबह 2,subaha 2,0.0
दोपहर 2,dopahara 2,0.0
शाम 2,śāma 2,0.0
रात 2,rāta 2,0.0
आज 2,āja 2,0.0
कल 2,kala 2,0.0
परसों 2,parasoṃ 2,0.0
स्कूल 2,sakūla 2,0.0
कक्षा 2,kakaṣā 2,0.0
शिक्षक 2,śikaṣaka 2,0.0
शिक्षिका 2,śikaṣikā 2,0.0
बच्चा 2,bacacā 2,0.0
लड़का 2,laḍakā 2,0.0
लड़की 2,laḍakī 2,0.0
माता 2,mātā 2,0.0
पिता 2,pitā 2,0.0
परिवार 2,parivāra 2,0.0
दोस्त 2,dosata 2,0.0
किताब 2,kitāba 2,0.0
पेपर 2,pepara 2,0.0
कलम 2,kalama 2,0.0
कागज 2,kāgaja 2,0.0
स्कूलबैग 2,sakūlabaiga 2,0.0
खेल 2,khela 2,0.0
गाना 2,gānā 2,0.0
नाच 2,nāca 2,0.0
कहानी 2,kahānī 2,0.0
कविता 2,kavitā 2,0.0
खाना 2,khānā 2,0.0
पानी 2,pānī 2,0.0
रोटी 2,roṭī 2,0.0
चावल 2,cāvala 2,0.0
दाल 2,dāla 2,0.0
फल 2,phala 2,0.0
सब्जी 2,sabajī 2,0.0
मिठाई 2,miṭhāī 2,0.0
खुश 2,khuśa 2,0.0
