hindi,santhali_ol_chiki,confidence
पाँच 1,,0.0
छह 1,,0.0
सात 1,,0.0
आठ 1,,0.0
नौ 1,,0.0
दस 1,,0.0
ग्यारह 1,,0.0
बारह 1,,0.0
तीरह 1,,0.0
चौदह 1,,0.0
पंद्रह 1,,0.0
बीस 1,,0.0
तीस 1,,0.0
सौ 1,,0.0
हज़ार 1,,0.0
कितना 1,,0.0
किसका 1,,0.0
किसे 1,,0.0
क्योंकि 1,,0.0
अगर 1,,0.0
लेकिन 1,,0.0
और 1,,0.0
या 1,,0.0
पर 1,,0.0
बीच 1,,0.0
साथ 1,,0.0
अंदर 1,,0.0
बाहर 1,,0.0
ऊपर 1,,0.0
नीचे 1,,0.0
दायाँ 1,,0.0
बायाँ 1,,0.0
सही 1,,0.0
गलत 1,,0.0
खिड़की 1,,0.0
दरवाज़ा 1,,0.0
कुर्सी 1,,0.0
मेज़ 1,,0.0
बिस्तर 1,,0.0
कमरा 1,,0.0
घर 1,,0.0
गांव 1,,0.0
शहर 1,,0.0
मार्ग 1,,0.0
सड़क 1,,0.0
बाजार 1,,0.0
दुकान 1,,0.0
दवा 1,,0.0
हॉस्पिटल 1,,0.0
डॉक्टर 1,,0.0
नर्स 1,,0.0
अस्पताल 1,,0.0
पुलिस 1,,0.0
ट्रेन 1,,0.0
बस 1,,0.0
साइकिल 1,,0.0
कार 1,,0.0
हवाईजहाज़ 1,,0.0
समुद्र 1,,0.0
नदी 1,,0.0
पहाड़ 1,,0.0
वन 1,,0.0
पेड़ 1,,0.0
पत्ता 1,,0.0
फूल 1,,0.0
सूरज 1,,0.0
चाँद 1,,0.0
तारा 1,,0.0
बारिश 1,,0.0
बर्फ 1,,0.0
हवा 1,,0.0
गरम 1,,0.0
ठंडा 1,,0.0
बाग 1,,0.0
खेत 1,,0.0
किसान 1,,0.0
जानवर 1,,0.0
कुत्ता 1,,0.0
बिल्ली 1,,0.0
गाय 1,,0.0
भैंस 1,,0.0
घोड़ा 1,,0.0
मुर्गा 1,,0.0
अंडा 1,,0.0
दूध 1,,0.0
मकान 1,,0.0
मेटल 1,,0.0
लकड़ी 1,,0.0
कपड़ा 1,,0.0
जूता 1,,0.0
टोपी 1,,0.0
दाढ़ी 1,,0.0
बाल 1,,0.0
आँख 1,,0.0
कान 1,,0.0
नाक 1,,0.0
हाथ 1,,0.0
पैर 1,,0.0
दिल 1,,0.0
दिमाग 1,,0.0
स्वास्थ्य 1,,0.0
सफाई 1,,0.0
खुशहाली 1,,0.0
सुरक्षा 1,,0.0
खुला 1,,0.0
बंद 1,,0.0
किराना 1,,0.0
खर्च 1,,0.0
कमाई 1,,0.0
काम 1,,0.0
आराम 1,,0.0
खेलना 1,,0.0
सीढ़ी 1,,0.0
दरवाज़ा 1,,0.0
सड़क 1,,0.0
पुल 1,,0.0
नौकरी 1,,0.0
पैसा 1,,0.0
हाथ धोना 1,,0.0
साबुन 1,,0.0
टॉयलेट 1,,0.0
क्लासरूम 1,,0.0
पाठ्यक्रम 1,,0.0
शब्द 1,,0.0
वाक्य 1,,0.0
अनुच्छेद 1,,0.0
कहानी 1,,0.0
चित्र 1,,0.0
रंग 1,,0.0
लाल 1,,0.0
नीला 1,,0.0
हरा 1,,0.0
पीला 1,,0.0
काला 1,,0.0
सफ़ेद 1,,0.0
गुलाबी 1,,0.0
बैंगनी 1,,0.0
नमस्ते 2,,0.0
हैलो 2,,0.0
आप 2,,0.0
तुम 2,,0.0
मैं 2,,0.0
हम 2,,0.0
यह 2,,0.0
वह 2,,0.0
क्यों 2,,0.0
क्या 2,,0.0
कैसे 2,,0.0
कहाँ 2,,0.0
कब 2,,0.0
हाँ 2,,0.0
नहीं 2,,0.0
कृपया 2,,0.0
धन्यवाद 2,,0.0
शुक्रिया 2,,0.0
स्वागत 2,,0.0
अच्छा 2,,0.0
ख़राब 2,,0.0
बड़ा 2,,0.0
छोटा 2,,0.0
लंबा 2,,0.0
छोटा 2,,0.0
तेज़ 2,,0.0
धीमा 2,,0.0
सुबह 2,,0.0
दोपहर 2,,0.0
शाम 2,,0.0
रात 2,,0.0
आज 2,,0.0
कल 2,,0.0
परसों 2,,0.0
स्कूल 2,,0.0
कक्षा 2,,0.0
शिक्षक 2,,0.0
शिक्षिका 2,,0.0
बच्चा 2,,0.0
लड़का 2,,0.0
लड़की 2,,0.0
माता 2,,0.0
पिता 2,,0.0
परिवार 2,,0.0
दोस्त 2,,0.0
किताब 2,,0.0
पेपर 2,,0.0
कलम 2,,0.0
कागज 2,,0.0
स्कूलबैग 2,,0.0
खेल 2,,0.0
गाना 2,,0.0
नाच 2,,0.0
कहानी 2,,0.0
कविता 2,,0.0
खाना 2,,0.0
पानी 2,,0.0
रोटी 2,,0.0
चावल 2,,0.0
दाल 2,,0.0
फल 2,,0.0
सब्जी 2,,0.0
मिठाई 2,,0.0
खुश 2,,0.0
